ARVORE;TORA;DAP;HT;hi;di_cc;e_casca;comp_secao
1;1;17,6;21;0,5;18,5;6;1
1;2;17,6;21;1,5;17,5;6;1
1;3;17,6;21;2,5;17;5;1
1;4;17,6;21;3,5;16,5;5;1
1;5;17,6;21;4,5;16;4;1
1;6;17,6;21;5,5;16;4;1
1;7;17,6;21;6,5;15,5;3;1
1;8;17,6;21;7,5;15;3;1
1;9;17,6;21;8,5;14,5;3;1
1;10;17,6;21;9,5;14;3;1
1;11;17,6;21;10,5;13;2;1
1;12;17,6;21;11,5;12,5;2;1
1;13;17,6;21;12,5;12;2;1
1;14;17,6;21;13,5;11,5;1;1
1;15;17,6;21;14,5;11;1;1
1;16;17,6;21;15,5;10;6;1
1;17;17,6;21;16,5;9,5;6;1
1;18;17,6;21;17,5;9;5;1
1;19;17,6;21;18,5;8;5;1
1;20;17,6;21;19,5;7,5;4;1
1;21;17,6;21;20,5;7;4;1
2;1;15,6;20;0,5;16,5;4;1
2;2;15,6;20;1,5;15,5;4;1
2;3;15,6;20;2,5;15;3;1
2;4;15,6;20;3,5;15;2;1
2;5;15,6;20;4,5;14,5;2;1
2;6;15,6;20;5,5;14;2;1
2;7;15,6;20;6,5;14;2;1
2;8;15,6;20;7,5;13,5;1;1
2;9;15,6;20;8,5;13;1;1
2;10;15,6;20;9,5;12,5;9;1
2;11;15,6;20;10,5;12;8;1
2;12;15,6;20;11,5;11;6;1
2;13;15,6;20;12,5;11;5;1
2;14;15,6;20;13,5;10,5;5;1
2;15;15,6;20;14,5;10;4;1
2;16;15,6;20;15,5;9,5;4;1
2;17;15,6;20;16,5;9;2;1
2;18;15,6;20;17,5;8;3;1
2;19;15,6;20;18,5;7,5;3;1
2;20;15,6;20;19,5;7;2;1
3;1;15,7;20;0,5;16;2;1
3;2;15,7;20;1,5;15,5;1;1
3;3;15,7;20;2,5;14,5;1;1
3;4;15,7;20;3,5;14,5;6;1
3;5;15,7;20;4,5;14;5;1
3;6;15,7;20;5,5;13;5;1
3;7;15,7;20;6,5;12,5;5;1
3;8;15,7;20;7,5;12;4;1
3;9;15,7;20;8,5;11,5;3;1
3;10;15,7;20;9,5;11;3;1
3;11;15,7;20;10,5;10,5;3;1
3;12;15,7;20;11,5;10;2;1
3;13;15,7;20;12,5;9,5;2;1
3;14;15,7;20;13,5;9;2;1
3;15;15,7;20;14,5;8,5;2;1
3;16;15,7;20;15,5;8;1;1
3;17;15,7;20;16,5;7,5;6;1
3;18;15,7;20;17,5;7;6;1
3;19;15,7;20;18,5;6,5;6;1
3;20;15,7;20;19,5;6;5;1
4;1;15,1;20;0,5;16;4;1
4;2;15,1;20;1,5;15;4;1
4;3;15,1;20;2,5;14,5;4;1
4;4;15,1;20;3,5;14;4;1
4;5;15,1;20;4,5;13,5;5;1
4;6;15,1;20;5,5;13;3;1
4;7;15,1;20;6,5;12,5;3;1
4;8;15,1;20;7,5;12;3;1
4;9;15,1;20;8,5;11,5;3;1
4;10;15,1;20;9,5;11;2;1
4;11;15,1;20;10,5;10,5;1;1
4;12;15,1;20;11,5;10;7;1
4;13;15,1;20;12,5;9,5;6;1
4;14;15,1;20;13,5;9;5;1
4;15;15,1;20;14,5;8,5;4;1
4;16;15,1;20;15,5;8;4;1
4;17;15,1;20;16,5;7,5;3;1
4;18;15,1;20;17,5;7;3;1
4;19;15,1;20;18,5;6,5;2;1
4;20;15,1;20;19,5;6;2;1
5;1;17,2;20;0,5;17,5;2;1
5;2;17,2;21;1,5;17;2;1
5;3;17,2;21;2,5;16,5;2;1
5;4;17,2;21;3,5;16;1;1
5;5;17,2;21;4,5;15,5;1;1
5;6;17,2;21;5,5;15;6;1
5;7;17,2;21;6,5;14,5;5;1
5;8;17,2;21;7,5;14;5;1
5;9;17,2;21;8,5;13,5;5;1
5;10;17,2;21;9,5;13;5;1
5;11;17,2;21;10,5;12,5;4;1
5;12;17,2;21;11,5;12;4;1
5;13;17,2;21;12,5;11,5;3;1
5;14;17,2;21;13,5;11;3;1
5;15;17,2;21;14,5;10,5;4;1
5;16;17,2;21;15,5;10;3;1
5;17;17,2;21;16,5;9,5;3;1
5;18;17,2;21;17,5;8,5;2;1
5;19;17,2;21;18,5;8,5;2;1
5;20;17,2;21;19,5;8;1;1
5;21;17,2;21;20,5;7,5;5;1
6;1;16,2;20;0,5;16,5;5;1
6;2;16,2;20;1,5;16;5;1
6;3;16,2;20;2,5;15,5;5;1
6;4;16,2;20;3,5;15;4;1
6;5;16,2;20;4,5;14,5;3;1
6;6;16,2;20;5,5;14;3;1
6;7;16,2;20;6,5;13,5;3;1
6;8;16,2;20;7,5;13;3;1
6;9;16,2;20;8,5;12,5;3;1
6;10;16,2;20;9,5;12;2;1
6;11;16,2;20;10,5;11,5;2;1
6;12;16,2;20;11,5;11;2;1
6;13;16,2;20;12,5;10,5;2;1
6;14;16,2;20;13,5;10;2;1
6;15;16,2;20;14,5;9,5;1;1
6;16;16,2;20;15,5;9;6;1
6;17;16,2;20;16,5;8,5;5;1
6;18;16,2;20;17,5;8;5;1
6;19;16,2;20;18,5;7,5;5;1
6;20;16,2;20;19,5;7;4;1
7;1;17,7;22;0,5;18;3;1
7;2;17,7;22;1,5;17,5;3;1
7;3;17,7;22;2,5;17;3;1
7;4;17,7;22;3,5;16,5;3;1
7;5;17,7;22;4,5;16;3;1
7;6;17,7;22;5,5;15,5;2;1
7;7;17,7;22;6,5;15;2;1
7;8;17,7;22;7,5;14,5;2;1
7;9;17,7;22;8,5;14;2;1
7;10;17,7;22;9,5;13,5;2;1
7;11;17,7;22;10,5;13;1;1
7;12;17,7;22;11,5;12,5;6;1
7;13;17,7;22;12,5;12;5;1
7;14;17,7;22;13,5;11,5;5;1
7;15;17,7;22;14,5;11;5;1
7;16;17,7;22;15,5;10,5;4;1
7;17;17,7;22;16,5;10;4;1
7;18;17,7;22;17,5;9,5;3;1
7;19;17,7;22;18,5;9;3;1
7;20;17,7;22;19,5;8,5;3;1
7;21;17,7;22;20,5;8;3;1
7;22;17,7;22;21,5;7,5;2;1
8;1;16,1;21;0,5;17;1;1
8;2;16,1;21;1,5;16;1;1
8;3;16,1;21;2,5;15;1;1
8;4;16,1;21;3,5;14,5;1;1
8;5;16,1;21;4,5;14;8;1
8;6;16,1;21;5,5;14;7;1
8;7;16,1;21;6,5;13,5;6;1
8;8;16,1;21;7,5;13;6;1
8;9;16,1;21;8,5;12,5;6;1
8;10;16,1;21;9,5;12;5;1
8;11;16,1;21;10,5;12;4;1
8;12;16,1;21;11,5;11,5;4;1
8;13;16,1;21;12,5;11;3;1
8;14;16,1;21;13,5;11;3;1
8;15;16,1;21;14,5;10;3;1
8;16;16,1;21;15,5;9;2;1
8;17;16,1;21;16,5;8,5;2;1
8;18;16,1;21;17,5;8;2;1
8;19;16,1;21;18,5;7,5;2;1
8;20;16,1;21;19,5;6,5;2;1
8;21;16,1;21;20,5;6;1;1
9;1;16,7;19;0,5;17;6;1
9;2;16,7;19;1,5;16,5;5;1
9;3;16,7;19;2,5;16;6;1
9;4;16,7;19;3,5;15,5;5;1
9;5;16,7;19;4,5;15;5;1
9;6;16,7;19;5,5;14,5;5;1
9;7;16,7;19;6,5;14;3;1
9;8;16,7;19;7,5;13,5;3;1
9;9;16,7;19;8,5;13;3;1
9;10;16,7;19;9,5;12,5;3;1
9;11;16,7;19;10,5;12;3;1
9;12;16,7;19;11,5;11,5;3;1
9;13;16,7;19;12,5;11;2;1
9;14;16,7;19;13,5;10,5;2;1
9;15;16,7;19;14,5;10;1;1
9;16;16,7;19;15,5;9,5;1;1
9;17;16,7;19;16,5;9;7;1
9;18;16,7;19;17,5;8,5;5;1
9;19;16,7;19;18,5;7,5;5;1
10;1;16,1;20;0,5;17;5;1
10;2;16,1;20;1,5;16;5;1
10;3;16,1;20;2,5;15,5;4;1
10;4;16,1;20;3,5;15;3;1
10;5;16,1;20;4,5;14;3;1
10;6;16,1;20;5,5;14;3;1
10;7;16,1;20;6,5;13,5;2;1
10;8;16,1;20;7,5;13;2;1
10;9;16,1;20;8,5;12,5;2;1
10;10;16,1;20;9,5;12;2;1
10;11;16,1;20;10,5;12;2;1
10;12;16,1;20;11,5;11,5;2;1
10;13;16,1;20;12,5;11;2;1
10;14;16,1;20;13,5;10;2;1
10;15;16,1;20;14,5;9,5;1;1
10;16;16,1;20;15,5;8,5;8;1
10;17;16,1;20;16,5;8;7;1
10;18;16,1;20;17,5;7,5;6;1
10;19;16,1;20;18,5;7;6;1
10;20;16,1;20;19,5;6,5;5;1
10;1;16,1;20;0,5;17;4;1
10;2;16,1;20;1,5;16;4;1
10;3;16,1;20;2,5;15,5;4;1
10;4;16,1;20;3,5;15;3;1
10;5;16,1;20;4,5;14;2;1
10;6;16,1;20;5,5;14;3;1
10;7;16,1;20;6,5;13,5;3;1
10;8;16,1;20;7,5;13;2;1
10;9;16,1;20;8,5;12,5;2;1
10;10;16,1;20;9,5;12;2;1
10;11;16,1;20;10,5;11,5;2;1
10;12;16,1;20;11,5;11;1;1
10;13;16,1;20;12,5;11;7;1
10;14;16,1;20;13,5;10,5;6;1
10;15;16,1;20;14,5;10;6;1
10;16;16,1;20;15,5;9,5;5;1
10;17;16,1;20;16,5;9;5;1
10;18;16,1;20;17,5;8;4;1
10;19;16,1;20;18,5;7,5;4;1
10;20;16,1;20;19,5;6,5;4;1
11;1;16,2;20;0,5;16,5;3;1
11;2;16,2;20;1,5;16;3;1
11;3;16,2;20;2,5;15;3;1
11;4;16,2;20;3,5;15;3;1
11;5;16,2;20;4,5;14;3;1
11;6;16,2;20;5,5;14;2;1
11;7;16,2;20;6,5;13,5;2;1
11;8;16,2;20;7,5;13;2;1
11;9;16,2;20;8,5;12,5;1;1
11;10;16,2;20;9,5;12;8;1
11;11;16,2;20;10,5;11,5;8;1
11;12;16,2;20;11,5;11;6;1
11;13;16,2;20;12,5;10,5;6;1
11;14;16,2;20;13,5;10;5;1
11;15;16,2;20;14,5;9,5;5;1
11;16;16,2;20;15,5;9;4;1
11;17;16,2;20;16,5;8,5;4;1
11;18;16,2;20;17,5;8;4;1
11;19;16,2;20;18,5;7;3;1
11;20;16,2;20;19,5;6,5;3;1
12;1;16,1;20;0,5;17;2;1
12;2;16,1;20;1,5;16;2;1
12;3;16,1;20;2,5;15,5;2;1
12;4;16,1;20;3,5;14,5;2;1
12;5;16,1;20;4,5;14;2;1
12;6;16,1;20;5,5;14;1;1
12;7;16,1;20;6,5;13,5;9;1
12;8;16,1;20;7,5;13;6;1
12;9;16,1;20;8,5;12,5;6;1
12;10;16,1;20;9,5;12;7;1
12;11;16,1;20;10,5;11,5;6;1
12;12;16,1;20;11,5;11;5;1
12;13;16,1;20;12,5;10,5;4;1
12;14;16,1;20;13,5;10;4;1
12;15;16,1;20;14,5;9,5;4;1
12;16;16,1;20;15,5;9;4;1
12;17;16,1;20;16,5;8,5;3;1
12;18;16,1;20;17,5;8;3;1
12;19;16,1;20;18,5;7,5;2;1
12;20;16,1;20;19,5;6,5;2;1
12;1;16,1;21;0,5;17;2;1
12;2;16,1;21;1,5;16;2;1
12;3;16,1;21;2,5;16;2;1
12;4;16,1;21;3,5;15;1;1
12;5;16,1;21;4,5;15;5;1
12;6;16,1;21;5,5;14;6;1
12;7;16,1;21;6,5;13,5;5;1
12;8;16,1;21;7,5;13;6;1
12;9;16,1;21;8,5;12,5;5;1
12;10;16,1;21;9,5;12,5;4;1
12;11;16,1;21;10,5;12;4;1
12;12;16,1;21;11,5;11,5;5;1
12;13;16,1;21;12,5;11;4;1
12;14;16,1;21;13,5;10,5;3;1
12;15;16,1;21;14,5;10;3;1
12;16;16,1;21;15,5;10;3;1
12;17;16,1;21;16,5;9,5;3;1
12;18;16,1;21;17,5;8,5;3;1
12;19;16,1;21;18,5;8;2;1
12;20;16,1;21;19,5;7,5;2;1
12;21;16,1;21;20,5;6,5;2;1
13;1;15,1;20;0,5;16;1;1
13;2;15,1;20;1,5;15;10;1
13;3;15,1;20;2,5;14;7;1
13;4;15,1;20;3,5;14;7;1
13;5;15,1;20;4,5;13,5;6;1
13;6;15,1;20;5,5;13,5;5;1
13;7;15,1;20;6,5;13;5;1
13;8;15,1;20;7,5;13;4;1
13;9;15,1;20;8,5;12,5;4;1
13;10;15,1;20;9,5;12;4;1
13;11;15,1;20;10,5;12;4;1
13;12;15,1;20;11,5;11;4;1
13;13;15,1;20;12,5;11;4;1
13;14;15,1;20;13,5;10;3;1
13;15;15,1;20;14,5;9,5;3;1
13;16;15,1;20;15,5;9;3;1
13;17;15,1;20;16,5;8;2;1
13;18;15,1;20;17,5;8;2;1
13;19;15,1;20;18,5;7,5;1;1
13;20;15,1;20;19,5;6,5;10;1
15;1;14,7;19;0,5;15;7;1
15;2;14,7;19;1,5;14,5;6;1
15;3;14,7;19;2,5;14;5;1
15;4;14,7;19;3,5;14;5;1
15;5;14,7;19;4,5;13,5;5;1
15;6;14,7;19;5,5;12,5;5;1
15;7;14,7;19;6,5;12,5;4;1
15;8;14,7;19;7,5;12;4;1
15;9;14,7;19;8,5;11,5;4;1
15;10;14,7;19;9,5;11,5;4;1
15;11;14,7;19;10,5;11;3;1
15;12;14,7;19;11,5;10;3;1
15;14;14,7;19;13,5;9;3;1
15;15;14,7;19;14,5;8,5;3;1
15;16;14,7;19;15,5;8;3;1
15;17;14,7;19;16,5;7;2;1
15;18;14,7;19;17,5;7;2;1
15;19;14,7;19;18,5;6;9;1
16;1;16,7;20;0,5;17;8;1
16;2;16,7;20;1,5;16,5;6;1
16;3;16,7;20;2,5;16;6;1
16;4;16,7;20;3,5;15;6;1
16;5;16,7;20;4,5;15;5;1
16;6;16,7;20;5,5;14,5;5;1
16;7;16,7;20;6,5;14;4;1
16;8;16,7;20;7,5;13,5;3;1
16;9;16,7;20;8,5;13;3;1
16;10;16,7;20;9,5;12,5;3;1
16;11;16,7;20;10,5;12;3;1
16;12;16,7;20;11,5;11,5;3;1
16;13;16,7;20;12,5;11;3;1
16;14;16,7;20;13,5;10,5;3;1
16;15;16,7;20;14,5;10;2;1
16;16;16,7;20;15,5;9;2;1
16;17;16,7;20;16,5;8,5;2;1
16;18;16,7;20;17,5;8;1;1
16;19;16,7;20;18,5;7,5;7;1
16;20;16,7;20;19,5;7;7;1
17;1;15,5;19;0,5;17;6;1
17;2;15,5;19;1,5;15,5;6;1
17;3;15,5;19;2,5;15;6;1
17;4;15,5;19;3,5;14,5;5;1
17;5;15,5;19;4,5;14,5;5;1
17;6;15,5;19;5,5;14;4;1
17;7;15,5;19;6,5;14;3;1
17;8;15,5;19;7,5;13;3;1
17;9;15,5;19;8,5;12,5;2;1
17;10;15,5;19;9,5;12;2;1
17;11;15,5;19;10,5;12;2;1
17;12;15,5;19;11,5;11,5;2;1
17;13;15,5;19;12,5;11;2;1
17;14;15,5;19;13,5;10,5;2;1
17;15;15,5;19;14,5;10;2;1
17;16;15,5;19;15,5;9;2;1
17;17;15,5;19;16,5;8;1;1
17;18;15,5;19;17,5;7,5;6;1
17;19;15,5;19;18,5;6,5;7;1
18;1;16,7;20;0,5;17;6;1
18;2;16,7;20;1,5;16,5;6;1
18;3;16,7;20;2,5;16;5;1
18;4;16,7;20;3,5;15;4;1
18;5;16,7;20;4,5;15;4;1
18;6;16,7;20;5,5;14,5;4;1
18;7;16,7;20;6,5;14;4;1
18;8;16,7;20;7,5;13,5;4;1
18;9;16,7;20;8,5;13;3;1
18;10;16,7;20;9,5;12,5;4;1
18;11;16,7;20;10,5;12;3;1
18;12;16,7;20;11,5;12;3;1
18;13;16,7;20;12,5;11,5;3;1
18;14;16,7;20;13,5;10,5;3;1
18;15;16,7;20;14,5;10,5;3;1
18;16;16,7;20;15,5;9,5;2;1
18;17;16,7;20;16,5;9;1;1
18;18;16,7;20;17,5;8;10;1
18;19;16,7;20;18,5;7,5;7;1
18;20;16,7;20;19,5;7;7;1
19;1;16;20;0,5;17,5;6;1
19;2;16;20;1,5;16;6;1
19;3;16;20;2,5;15,5;5;1
19;4;16;20;3,5;15;4;1
19;5;16;20;4,5;14,5;4;1
19;6;16;20;5,5;14;4;1
19;7;16;20;6,5;13,5;3;1
19;8;16;20;7,5;13;4;1
19;9;16;20;8,5;13;3;1
19;10;16;20;9,5;12,5;3;1
19;11;16;20;10,5;12;3;1
19;12;16;20;11,5;11,5;2;1
19;13;16;20;12,5;11;2;1
19;14;16;20;13,5;10,5;2;1
19;15;16;20;14,5;10;3;1
19;16;16;20;15,5;9;2;1
19;17;16;20;16,5;8,5;7;1
19;18;16;20;17,5;8;7;1
19;19;16;20;18,5;7,5;6;1
19;20;16;20;19,5;6,5;5;1
20;1;15,1;19;0,5;16;5;1
20;2;15,1;19;1,5;15;5;1
20;3;15,1;19;2,5;14,5;5;1
20;4;15,1;19;3,5;14;4;1
20;5;15,1;19;4,5;13,5;3;1
20;6;15,1;19;5,5;13;3;1
20;7;15,1;19;6,5;12,5;3;1
20;8;15,1;19;7,5;12,5;4;1
20;9;15,1;19;8,5;12;4;1
20;10;15,1;19;9,5;11,5;4;1
20;11;15,1;19;10,5;11,5;3;1
20;12;15,1;19;11,5;11;3;1
20;13;15,1;19;12,5;10,5;2;1
20;14;15,1;19;13,5;10;2;1
20;15;15,1;19;14,5;9;1;1
20;16;15,1;19;15,5;8,5;6;1
20;17;15,1;19;16,5;8;7;1
20;18;15,1;19;17,5;7,5;7;1
20;19;15,1;19;18,5;7;6;1
21;1;16,1;20;0,5;17;5;1
21;2;16,1;20;1,5;16;5;1
21;3;16,1;20;2,5;15,5;5;1
21;4;16,1;20;3,5;15;4;1
21;5;16,1;20;4,5;14,5;4;1
21;6;16,1;20;5,5;14;3;1
21;7;16,1;20;6,5;14;3;1
21;8;16,1;20;7,5;13;3;1
21;9;16,1;20;8,5;13;4;1
21;10;16,1;20;9,5;12,5;4;1
21;11;16,1;20;10,5;12;4;1
21;12;16,1;20;11,5;12;3;1
21;13;16,1;20;12,5;11;3;1
21;14;16,1;20;13,5;10;2;1
21;15;16,1;20;14,5;10;2;1
21;16;16,1;20;15,5;9,5;1;1
21;17;16,1;20;16,5;8;9;1
21;18;16,1;20;17,5;8;8;1
21;19;16,1;20;18,5;7;7;1
21;20;16,1;20;19,5;6,5;7;1
22;1;17,3;20;0,5;17;6;1
22;2;17,3;20;1,5;17;6;1
22;3;17,3;20;2,5;16;5;1
22;4;17,3;20;3,5;16;4;1
22;5;17,3;20;4,5;15;4;1
22;6;17,3;20;5,5;14,5;3;1
22;7;17,3;20;6,5;14;3;1
22;8;17,3;20;7,5;14;3;1
22;9;17,3;20;8,5;13,5;3;1
22;10;17,3;20;9,5;13;3;1
22;11;17,3;20;10,5;12,5;3;1
22;12;17,3;20;11,5;12;3;1
22;13;17,3;20;12,5;11,5;2;1
22;14;17,3;20;13,5;10,5;2;1
22;15;17,3;20;14,5;10;1;1
22;16;17,3;20;15,5;9,5;10;1
22;17;17,3;20;16,5;8,5;8;1
22;18;17,3;20;17,5;8;7;1
22;19;17,3;20;18,5;7,5;6;1
22;20;17,3;20;19,5;7;5;1
23;1;16,7;20;0,5;17;4;1
23;2;16,7;20;1,5;16,5;4;1
23;3;16,7;20;2,5;16;4;1
23;4;16,7;20;3,5;15;3;1
23;5;16,7;20;4,5;15;3;1
23;6;16,7;20;5,5;15;3;1
23;7;16,7;20;6,5;14;3;1
23;8;16,7;20;7,5;14;3;1
23;9;16,7;20;8,5;13;3;1
23;10;16,7;20;9,5;13;2;1
23;11;16,7;20;10,5;12,5;3;1
23;12;16,7;20;11,5;12,5;2;1
23;13;16,7;20;12,5;11,5;2;1
23;14;16,7;20;13,5;10,5;2;1
23;15;16,7;20;14,5;10;1;1
23;16;16,7;20;15,5;9,5;10;1
23;17;16,7;20;16,5;9;9;1
23;18;16,7;20;17,5;8;7;1
23;19;16,7;20;18,5;7,5;7;1
23;20;16,7;20;19,5;7;5;1
24;1;15,7;20;0,5;16;5;1
24;2;15,7;20;1,5;15,5;5;1
24;3;15,7;20;2,5;15;4;1
24;4;15,7;20;3,5;14,5;4;1
24;5;15,7;20;4,5;14;4;1
24;6;15,7;20;5,5;14;5;1
24;7;15,7;20;6,5;13,5;3;1
24;8;15,7;20;7,5;13;3;1
24;9;15,7;20;8,5;12,5;4;1
24;10;15,7;20;9,5;12;4;1
24;11;15,7;20;10,5;12;3;1
24;12;15,7;20;11,5;11,5;2;1
24;13;15,7;20;12,5;10,5;3;1
24;14;15,7;20;13,5;10;2;1
24;15;15,7;20;14,5;9,5;2;1
24;16;15,7;20;15,5;8,5;1;1
24;17;15,7;20;16,5;8;10;1
24;18;15,7;20;17,5;8;8;1
24;19;15,7;20;18,5;7;8;1
24;20;15,7;20;19,5;6;5;1
25;1;17,7;21;0,5;18;6;1
25;2;17,7;21;1,5;17,5;6;1
25;3;17,7;21;2,5;17;5;1
25;4;17,7;21;3,5;16,5;4;1
25;5;17,7;21;4,5;16;4;1
25;6;17,7;21;5,5;15,5;3;1
25;7;17,7;21;6,5;15;3;1
25;8;17,7;21;7,5;14,5;3;1
25;9;17,7;21;8,5;14;3;1
25;10;17,7;21;9,5;13,5;3;1
25;11;17,7;21;10,5;13;3;1
25;12;17,7;21;11,5;12,5;3;1
25;13;17,7;21;12,5;12;3;1
25;14;17,7;21;13,5;11,5;3;1
25;15;17,7;21;14,5;11;2;1
25;16;17,7;21;15,5;10,5;2;1
25;17;17,7;21;16,5;10;8;1
25;18;17,7;21;17,5;9;8;1
25;19;17,7;21;18,5;8;9;1
25;20;17,7;21;19,5;7,5;6;1
25;21;17,7;21;20,5;6;6;1
26;1;16,2;20;0,5;16,5;5;1
26;2;16,2;20;1,5;16;4;1
26;3;16,2;20;2,5;15;4;1
26;4;16,2;20;3,5;15;5;1
26;5;16,2;20;4,5;14,5;3;1
26;6;16,2;20;5,5;14;3;1
26;7;16,2;20;6,5;13,5;4;1
26;8;16,2;20;7,5;13,5;4;1
26;9;16,2;20;8,5;13;3;1
26;10;16,2;20;9,5;13;3;1
26;11;16,2;20;10,5;12;3;1
26;12;16,2;20;11,5;11,5;3;1
26;13;16,2;20;12,5;11;2;1
26;14;16,2;20;13,5;10,5;2;1
26;15;16,2;20;14,5;10;2;1
26;16;16,2;20;15,5;9,5;6;1
26;17;16,2;20;16,5;9;6;1
26;18;16,2;20;17,5;8;7;1
26;19;16,2;20;18,5;7,5;6;1
26;20;16,2;20;19,5;7;6;1
27;1;16,6;20;0,5;17,5;6;1
27;2;16,6;20;1,5;16,5;5;1
27;3;16,6;20;2,5;16;4;1
27;4;16,6;20;3,5;16;4;1
27;5;16,6;20;4,5;15;3;1
27;6;16,6;20;5,5;14,5;3;1
27;7;16,6;20;6,5;14;3;1
27;8;16,6;20;7,5;14;3;1
27;9;16,6;20;8,5;13;3;1
27;10;16,6;20;9,5;13;3;1
27;11;16,6;20;10,5;12,5;3;1
27;12;16,6;20;11,5;12;3;1
27;13;16,6;20;12,5;11;3;1
27;14;16,6;20;13,5;10,5;2;1
27;15;16,6;20;14,5;10;2;1
27;16;16,6;20;15,5;10;1;1
27;17;16,6;20;16,5;9;11;1
27;18;16,6;20;17,5;8,5;10;1
27;19;16,6;20;18,5;8;8;1
27;20;16,6;20;19,5;7;8;1
28;1;16,5;21;0,5;18;7;1
28;2;16,5;21;1,5;16,5;6;1
28;3;16,5;21;2,5;16;5;1
28;4;16,5;21;3,5;16;4;1
28;5;16,5;21;4,5;16;4;1
28;6;16,5;21;5,5;15;4;1
28;7;16,5;21;6,5;14;4;1
28;8;16,5;21;7,5;14;4;1
28;9;16,5;21;8,5;13,5;3;1
28;10;16,5;21;9,5;13;4;1
28;11;16,5;21;10,5;13;3;1
28;12;16,5;21;11,5;12;3;1
28;13;16,5;21;12,5;11,5;3;1
28;14;16,5;21;13,5;11;3;1
28;15;16,5;21;14,5;10,5;3;1
28;16;16,5;21;15,5;10;2;1
28;17;16,5;21;16,5;9,5;1;1
28;18;16,5;21;17,5;9;9;1
28;19;16,5;21;18,5;8,5;9;1
28;20;16,5;21;19,5;7;8;1
28;21;16,5;21;20,5;6;8;1
29;1;16,2;20;0,5;16,5;6;1
29;2;16,2;20;1,5;16;5;1
29;3;16,2;20;2,5;14,5;5;1
29;4;16,2;20;3,5;14,5;6;1
29;5;16,2;20;4,5;14;5;1
29;6;16,2;20;5,5;14;4;1
29;7;16,2;20;6,5;13;4;1
29;8;16,2;20;7,5;13;4;1
29;9;16,2;20;8,5;12,5;4;1
29;10;16,2;20;9,5;12;4;1
29;11;16,2;20;10,5;12;3;1
29;12;16,2;20;11,5;11;3;1
29;13;16,2;20;12,5;11;3;1
