"TALHAO";"AREA_TL";"DATA_PL";"ESPAC";"PARCELA";"DATA_MD";"AREA_PC";"COVA";"DAP";"HT";"OBS";"HD"
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;1;15;23,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;2;13;23,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;3;15;24,7;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;4;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;5;15;24,3;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;6;14;22,4;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;7;16;23,9;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;8;15;24,2;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;9;13,5;22,6;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;10;15;24,1;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;11;15;25,4;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;12;14,5;24,3;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;13;16;24,9;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;14;14;23,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;15;16;24,3;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;16;10;17,6;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;17;15;24,8;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;18;13,5;23,3;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;19;16;25,3;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;20;12;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;21;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;22;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;23;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;24;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;25;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;26;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;27;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;28;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;29;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;30;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;31;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;32;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;33;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;34;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;35;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;36;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;37;16;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;38;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;39;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;40;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;41;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;42;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;43;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;44;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;45;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;46;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;47;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;48;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;49;10;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;50;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;51;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;52;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;53;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;54;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;55;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;56;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;57;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;58;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;59;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;60;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;61;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;62;15,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;63;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;64;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;65;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;66;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;67;12;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;68;16,5;25,9;"D";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;69;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;70;15,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;71;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;72;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;73;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;74;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;75;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;76;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;77;13,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;78;12,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;79;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;80;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;81;15,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;82;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;83;13;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;84;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;85;14,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;86;15,5;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;87;15;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;88;14;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;89;12;NA;"N";25,04
2;45;"2007-04-01";"3x3";1;"2012-09-04";810;90;16;24,8;"D";25,04
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;1;13;23,2;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;2;14,5;23,6;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;3;14,5;24,2;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;4;15;25,6;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;5;12;23,6;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;6;15;25;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;7;13,5;22,4;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;8;15;25,2;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;9;NA;NA;"F";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;10;14;23,5;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;11;14;25;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;12;15,5;24,6;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;13;15;24,1;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;14;16;25,6;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;15;15,5;24,8;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;16;13;22,7;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;17;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;18;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;19;16;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;20;16;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;21;14,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;22;17,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;23;17;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;24;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;25;16,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;26;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;27;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;28;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;29;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;30;15,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;31;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;32;16;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;33;14,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;34;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;35;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;36;13,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;37;12;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;38;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;39;15,5;24,5;"D";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;40;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;41;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;42;12;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;43;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;44;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;45;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;46;17;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;47;9;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;48;13,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;49;17;24,7;"D";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;50;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;51;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;52;15,5;22,3;"D";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;53;12,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;54;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;55;16;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;56;17;24,2;"D";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;57;15,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;58;14,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;59;15,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;60;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;61;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;62;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;63;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;64;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;65;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;66;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;67;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;68;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;69;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;70;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;71;11,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;72;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;73;14,5;23,1;"D";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;74;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;75;16;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;76;9,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;77;15,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;78;15,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;79;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;80;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;81;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;82;16;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;83;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;84;15;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;85;14,5;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;86;14;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;87;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;88;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;89;13;NA;"N";23,76
2;45;"2007-04-01";"3x3";2;"2012-09-04";810;90;16;NA;"N";23,76
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;1;13;20,9;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;2;14;20,3;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;3;13;21;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;4;13;19,7;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;5;11,5;18,9;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;6;12;19,4;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;7;13,5;20,5;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;8;13;19,5;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;9;9;17,2;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;10;13;19,4;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;11;12;18,9;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;12;12;19,3;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;13;12;20;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;14;11,5;20;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;15;12,5;20,1;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;16;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;17;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;18;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;19;12,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;20;14,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;21;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;22;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;23;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;24;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;25;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;26;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;27;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;28;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;29;12,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;30;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;31;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;32;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;33;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;34;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;35;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;36;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;37;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;38;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;39;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;40;12,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;41;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;42;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;43;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;44;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;45;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;46;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;47;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;48;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;49;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;50;11;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;51;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;52;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;53;10,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;54;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;55;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;56;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;57;NA;NA;"F";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;58;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;59;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;60;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;61;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;62;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;63;13,5;20,3;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;64;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;65;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;66;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;67;13,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;68;12,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;69;12;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;70;11;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;71;13;20,5;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;72;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;73;13,5;21,3;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;74;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;75;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;76;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;77;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;78;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;79;11,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;80;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;81;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;82;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;83;13,5;21,2;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;84;14;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;85;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;86;12,5;20,2;"D";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;87;14,5;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;88;13;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;89;15;NA;"N";20,7
2;45;"2007-07-01";"3x3";3;"2012-09-05";810;90;13;NA;"N";20,7
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;1;13;19,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;2;11;18,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;3;12,5;18,6;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;4;12,5;18,8;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;5;13;19;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;6;13;19,4;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;7;10,5;16,8;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;8;12;19,1;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;9;13;19;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;10;12;19;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;11;13;17,9;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;12;13;18,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;13;12;18,2;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;14;11;18;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;15;11,5;18;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;16;11,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;17;11,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;18;11;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;19;11;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;20;11;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;21;13;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;22;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;23;13;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;24;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;25;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;26;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;27;12,5;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;28;12;NA;"N";19,98
4;51;"2007-07-01";"3x3";4;"2012-09-05";810;29;13;NA;"N";19,98
